FULL STALL,1
TAIL SLIDE,1.15
SAT,1.25
WING OVER,1.35
ASYMMETRIC SPIRAL,1.35
LOOPING,1.5
ASYMMETRIC SAT,1.55
DYN. FULL STALL,1.6
MAC TWIST,1.6
MYSTY FLIP,1.65
HELICOPTER,1.7
X-CHOPPER,1.7
SAT TO HELICO,1.75
MISTY TO MISTY,1.75
MAC TWIST TO HELI,1.8
TUMBLING,1.8
MYSTY FLIP TO HELI,1.8
TWISTER - HELI TO HELI,1.85
HELICO TO SAT,1.85
TRIPY,1.9
INFINITY TUMBLING,1.95
RHYTHMIC SAT,2
ANTI RHYTHMIC,2
ESFERA,2.2
SYNCHRO SPIRAL,1.8
RODEO HELI,1.7
RODEO SAT,1.65
PITCH PENDULUM,1.95